Month,Year,MR,NMR
May, 2023, 26.5, 4
June, 2023, 28, 3.25
July, 2023, 47.25, 3.75
August, 2023, 40.75, 7.75
September, 2023, 11, 7
Ocotober, 2023, 27.75, 3
November, 2023, 20, 8
December, 2023, 23.50, 3
January, 2024, 11.25, 2
February, 2024, 43.50, 14.75
March, 2024, 48.75, 11.5
April, 2024, 49.75, 17.25
May, 2024, 29, 7.50
