MAINTENANCE RELATED,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,TOTALS
Entry coil cart down,1.50,6.25,10.75,,,,,,,,
Scrapwinder,,0.75,1.50,,,,,,,,
Machine fault/ won't reset,,,,,,,,,,
Maint working on recoiler,,3.75,,1.00,,,,,,,
Maint on uncoiler,7.25,2.50,1.00,,,,,,,,
Maint on bander,,1.00,,,,,,,,
Maint. On overarm/underarm,2.00,3.00,1.00,,,,,,,,
Maint. On Edge Guide/Sensor,,,2.75,0.75,,,,,,,
Down for Maint. Unknown reason,0.75,1.50,1.25,3.75,,,,,,,
Maint on rewind gear,,,,,,,,,,
Maint on Exit/entry Turnstile,,,0.75,0.75,,,,,,,
Maint on crane,,1.00,,1.25,,,,,,,
Maint. on upender,,,,,,,,,,
Maint. On Pit Table,,,,,,,,,,
Maint.on sync roll,1.00,0.25,,,,,,,,
Tension Stand Cylinder/encoder,,0.50,,,,,,,,
Maint. On Tension Roll/change rolls,2.50,,,0.25,,,,,,,
Maint on Leveler,0.75,,,0.50,,,,,,,
Maint. On hydraulics,1.50,,1.00,,,,,,,
Hydraulic Leak/pump/cleanup,,1.25,,,,,,,,
Maint on entry table,,,,,,,,,,
Exit coil cart down,0.50,,0.50,4.25,,,,,,,
Maint on exit table,,,,,,,,,,
Maint on drag pad,,,0.75,,,,,,,,
Maint on shear,,,,,,,,,,
Slitter head,1.75,5.00,13.50,,,,,,,,
Repair air line/pressure,0.50,0.75,1.75,,,,,,,,
Power outage,0.25,4.00,,,,,,,,
TOTALS,20.25,30.25,38.00,12.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.50
