NON MAINTENANCE RELATED,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,TOTALS
Waiting on crane oper. (clear line),0.25,1.75,0.75,,,,,,,,
Empty Scrap,,0.50,,,,,,,,
Cutting out ID wraps uncoiler,,,,,,,,,,
Clean up entry pit/ cut fell in pit,,,,,,,,,,
Cuts stuck on recoiler,,,,,,,,,,
Fixing coil/stuck on uncoiler,,,,,,,,,,
looking for felt,,0.25,,,,,,,,
Cleaning bands out of entry pit,,,,,,,,,,
Packaging material/ re-stencil,,,,,,,,,,
quit cutting/wrapped around head,,,,,,,,,,
Weather Alert Strom Shelter,,,0.25,,,,,,,,
Loading Truck,,,,,,,,,,
No Operator/Help,1.00,,,,,,,,,
Change out/build drag pad,,,,0.50,,,,,,,,
Training,,,,,,,,,,
Quality decision,0.25,0.75,0.75,2.25,,,,,,,,
Cutting cores,,,,0.50,,,,,,,,
General Clean up,,,,,,,,,,
Build Arms,,0.25,,,,,,,,
Redo overarm set-up,2.25,,,1.00,,,,,,,,
Waiting on crane,0.50,,0.50,,,,,,,,
Waiting/Looking for tools,,,0.25,,,,,,,,
Waiting on cores,,,,,,,,,,
Pull Coil/Restock,,,,,,,,,,
Waiting on coil/wrong coil loaded,1.50,3.50,0.75,1.75,,,,,,,,
Waiting on supervisor/SDI,0.50,1.75,,,,,,,,,
2 Dead Heads,1.00,2.50,9.50,7.50,,,,,,,,
Waiting on knives from head,,,1.75,,,,,,,,
Waiting on setup,10.50,15.75,17.50,30.00,,,,,,,,
Fix setup broken/Bad knife,1.25,,0.50,0.75,,,,,,,,
Bad set-up,12.25,5.25,3.50,10.50,,,,,,,,
Plates entry end,1.25,3.75,0.50,,,,,,,,
Plates exit end,1.75,1.75,1.25,,,,,,,,
TOTALS,34.25,37.00,38.50,54.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.50
