Date,Stamco,Braner,Red Bud
2/23/2023,9,7,6
2/22/2023,9,5,6
2/21/2023,9,7,5
2/20/2023,9,7,5
2/17/2023,9,7,5
2/16/2023,9,7,5
2/15/2023,9,7,5
2/14/2023,9,7,5
2/13/2023,9,7,5
2/10/2023,9,7,5
