Month,Year,MR,NMR
May,2023,25.5,29.25
June,2023,12,20.25
July,2023,20.5,31.75
August,2023,13,47.5
September,2023,6.5,37.75
Ocotober,2023,13.25,50.25
November,2023,16.50,44.25
December,2023,31,50
January,2024,20.25,34.25
February,2024,30.25,37
March,2024,38,38.5
April,2024, 12.25,54.75
